1,Perfect
2,Perfect
3,Incorrect
4,Perfect
5,Incorrect
6,Incorrect
7,Acceptable
8,Perfect
9,Missing
10,Incorrect
11,Perfect
12,Perfect
13,Incorrect
14,Perfect
15,Incorrect
16,Perfect
17,Incorrect
18,Perfect
19,Incorrect
20,Incorrect
21,Perfect
22,Perfect
23,Acceptable
24,Incorrect
25,Perfect
26,Perfect
27,Perfect
28,Incorrect
29,Perfect
30,Acceptable
31,Acceptable
32,Perfect
33,Perfect
34,Incorrect
35,Incorrect
36,Perfect
37,Incorrect
38,Perfect
39,Perfect
40,Incorrect
41,Perfect
42,Perfect
43,Perfect
44,Incorrect
45,Perfect
46,Perfect
47,Incorrect
48,Incorrect
49,Incorrect
50,Incorrect
51,Incorrect
52,Incorrect
53,Incorrect
54,Perfect
55,Perfect
56,Perfect
57,Incorrect
58,Perfect
59,Incorrect
60,Incorrect
